Individual,Sex,POINT_X,POINT_Y,Date,Time,Burst
Darnell,F,238570.9043,8684762.07,1983-06-19,15:10,1
Darnell,F,238608.2106,8684692.219,1983-06-19,15:30,1
Darnell,F,238594.7168,8684727.938,1983-06-19,16:20,1
Darnell,F,238497.8791,8684868.432,1983-06-19,18:00,1
Darnell,F,238497.8791,8684868.432,1983-06-20,6:00,2
Darnell,F,238696.317,8684792.232,1983-06-20,6:30,2
Darnell,F,238747.1171,8684820.013,1983-06-20,7:01,2
Darnell,F,238725.6858,8684880.339,1983-06-20,7:32,2
Darnell,F,238755.8484,8684913.676,1983-06-20,8:03,2
Darnell,F,238668.5357,8685026.389,1983-06-20,8:34,2
Darnell,F,238624.8794,8685081.158,1983-06-20,9:04,2
Darnell,F,238570.1105,8685108.939,1983-06-20,9:35,2
Darnell,F,238494.7041,8685119.258,1983-06-20,10:06,2
Darnell,F,238434.379,8685166.883,1983-06-20,10:37,2
Darnell,F,238494.8057,8685255.636,1983-06-20,11:08,2
Darnell,F,238526.9526,8685285.402,1983-06-20,11:38,2
Darnell,F,238600.7715,8685261.986,1983-06-20,12:09,2
Darnell,F,238635.2997,8685182.214,1983-06-20,12:40,2
Darnell,F,238730.153,8685103.633,1983-06-20,13:11,2
Darnell,F,238859.1376,8685122.286,1983-06-20,13:42,2
Darnell,F,238776.9844,8685014.997,1983-06-20,14:13,2
Darnell,F,238809.1313,8684938.4,1983-06-20,14:43,2
Darnell,F,238782.1437,8684928.875,1983-06-20,15:14,2
Darnell,F,238801.5642,8684896.014,1983-06-20,15:45,2
Darnell,F,238890.4644,8684854.739,1983-06-20,16:16,2
Darnell,F,238902.3706,8684896.808,1983-06-20,16:47,2
Darnell,F,238902.3706,8684896.808,1983-06-20,17:18,2
Darnell,F,238692.2911,8684784.478,1983-06-21,15:30,3
Darnell,F,238683.0306,8684778.525,1983-06-21,16:00,3
Darnell,F,238634.0826,8684762.65,1983-06-21,16:30,3
Darnell,F,238565.2908,8684740.822,1983-06-21,17:00,3
Darnell,F,238550.8819,8684715.937,1983-06-24,6:00,4
Darnell,F,238620.2029,8684694.77,1983-06-24,6:36,4
Darnell,F,238645.0737,8684667.253,1983-06-24,7:13,4
Darnell,F,238626.0237,8684622.803,1983-06-24,7:50,4
Darnell,F,238665.1821,8684670.428,1983-06-24,8:26,4
Darnell,F,238677.6893,8684735.259,1983-06-24,9:03,4
Darnell,F,238683.6425,8684784.207,1983-06-24,9:40,4
Darnell,F,238716.054,8684774.285,1983-06-24,10:16,4
Darnell,F,238749.7884,8684801.405,1983-06-24,10:53,4
Darnell,F,238722.6686,8684794.791,1983-06-24,11:30,4
Darnell,F,238731.2676,8684759.072,1983-06-24,12:06,4
Darnell,F,238626.0237,8684622.803,1983-06-24,12:43,4
Darnell,F,238807.9969,8684496.472,1983-06-24,13:20,4
Darnell,F,238913.8304,8684611.566,1983-06-24,13:56,4
Darnell,F,238841.7313,8684646.624,1983-06-24,14:33,4
Darnell,F,238851.6532,8684684.988,1983-06-24,15:10,4
Darnell,F,238821.6671,8684720.928,1983-06-24,15:46,4
Darnell,F,238792.8936,8684721.589,1983-06-24,16:23,4
Darnell,F,238787.9326,8684768.222,1983-06-24,17:00,4
Darnell,F,238786.4409,8684906.151,1983-08-02,13:24,5
Darnell,F,238834.6216,8684922.026,1983-08-02,14:02,5
Darnell,F,238809.6184,8684806.535,1983-08-02,14:41,5
Darnell,F,238735.0058,8684723.588,1983-08-02,15:19,5
Darnell,F,238632.2149,8684708.11,1983-08-02,15:58,5
Darnell,F,238594.9086,8684704.538,1983-08-02,16:36,5
Darnell,F,238545.696,8684714.857,1983-08-02,17:15,5
Darnell,F,238545.696,8684714.857,1983-08-03,5:51,6
Darnell,F,238622.6899,8684604.129,1983-08-03,7:05,6
Darnell,F,238620.7055,8684585.872,1983-08-03,8:19,6
Darnell,F,238627.8493,8684568.013,1983-08-03,9:33,6
Darnell,F,238670.315,8684553.328,1983-08-03,10:47,6
Darnell,F,238755.6433,8684550.55,1983-08-03,12:01,6
Darnell,F,238855.1004,8684610.875,1983-08-03,13:15,6
Darnell,F,238826.5253,8684579.522,1983-08-03,14:29,6
Darnell,F,238738.8158,8684640.244,1983-08-03,15:43,6
Darnell,F,238745.9595,8684624.766,1983-08-03,16:57,6
Darnell,F,238585.4916,8684692.477,1983-08-23,6:45,7
Darnell,F,238636.424,8684798.311,1983-08-23,7:17,7
Darnell,F,238611.2885,8684861.811,1983-08-23,7:49,7
Darnell,F,238638.9376,8685011.301,1983-08-23,8:21,7
Darnell,F,238675.1855,8685020.826,1983-08-23,8:53,7
Darnell,F,238633.9105,8685072.155,1983-08-23,9:25,7
Darnell,F,238758.2649,8685233.022,1983-08-23,9:57,7
Darnell,F,238810.1233,8685310.281,1983-08-23,10:30,7
Darnell,F,238628.6188,8685453.156,1983-08-23,11:02,7
Darnell,F,238524.9019,8685517.185,1983-08-23,11:34,7
Darnell,F,238485.7435,8685575.923,1983-08-23,12:06,7
Darnell,F,238384.2094,8685719.327,1983-08-23,12:38,7
Darnell,F,238373.9568,8685644.913,1983-08-23,13:10,7
Darnell,F,238273.8118,8685526.247,1983-08-23,13:42,7
Darnell,F,238396.0496,8685290.503,1983-08-23,14:15,7
Darnell,F,238654.2173,8685014.674,1983-08-23,14:47,7
Darnell,F,238767.3269,8684932.918,1983-08-23,15:19,7
Darnell,F,238783.2019,8684908.312,1983-08-23,15:51,7
Darnell,F,238786.9061,8684840.181,1983-08-23,16:23,7
Darnell,F,238776.3227,8684726.41,1983-08-23,16:55,7
Darnell,F,238603.0909,8684552.482,1983-08-23,17:28,7
Darnell,F,238638.8626,8684561.795,1983-08-23,18:00,7
Ellie,F,238848.8641,8685127.776,1983-06-21,12:00,8
Ellie,F,238765.8509,8685013.013,1983-06-21,12:49,8
Ellie,F,238800.2468,8684967.703,1983-06-21,13:38,8
Ellie,F,238789.002,8684938.929,1983-06-21,14:27,8
Ellie,F,238735.2253,8684928.809,1983-06-21,15:17,8
Emma,F,238686.7602,8685504.998,1983-07-12,15:30,9
Emma,F,238685.5695,8685474.041,1983-07-12,15:48,9
Emma,F,238687.157,8685447.848,1983-07-12,16:07,9
Emma,F,238682.7914,8685422.844,1983-07-12,16:25,9
Emma,F,238664.932,8685383.951,1983-07-12,16:44,9
Emma,F,238610.56,8685373.632,1983-07-12,17:02,9
Emma,F,238611.7506,8685382.76,1983-07-12,17:21,9
Emma,F,238613.0926,8685381.896,1983-07-13,6:00,10
Emma,F,238519.8268,8685376.736,1983-07-13,6:38,10
Emma,F,238449.1829,8685258.467,1983-07-13,7:16,10
Emma,F,238456.7235,8685255.689,1983-07-13,7:55,10
Emma,F,238449.1829,8685258.07,1983-07-13,8:33,10
Emma,F,238458.7079,8685312.046,1983-07-13,9:12,10
Emma,F,238497.6017,8685290.217,1983-07-13,9:50,10
Emma,F,238558.7206,8685250.927,1983-07-13,10:28,10
Emma,F,238616.2676,8685227.511,1983-07-13,11:07,10
Emma,F,238661.1145,8685180.68,1983-07-13,11:45,10
Emma,F,238674.2114,8685189.808,1983-07-13,12:24,10
Emma,F,238732.3934,8685131.467,1983-07-13,13:02,10
Emma,F,238736.7591,8685143.373,1983-07-13,13:40,10
Emma,F,238758.1904,8685148.533,1983-07-13,14:19,10
Emma,F,238792.3217,8685150.914,1983-07-13,14:57,10
Emma,F,238811.1071,8684943.745,1983-07-13,15:36,10
Ernie,M,238813.6136,8684856.674,1983-08-02,8:51,11
Ernie,M,238835.0449,8684924.936,1983-08-02,10:10,11
Ernie,M,238788.2136,8684905.886,1983-08-02,11:30,11
Ernie,M,238835.5741,8684921.1,1983-08-02,14:00,11
Ernie,M,238687.6188,8684895.171,1983-08-02,15:13,11
Ernie,M,238641.052,8685003.65,1983-08-02,16:27,11
Ernie,M,238708.3357,8685134.597,1983-08-22,7:39,12
Ernie,M,238660.0491,8685180.238,1983-08-22,8:23,12
Ernie,M,238428.5383,8685185.53,1983-08-22,9:07,12
Ernie,M,238552.7273,8685135.259,1983-08-22,9:51,12
Ernie,M,238552.0659,8685156.095,1983-08-22,10:35,12
Ernie,M,238552.7273,8685135.259,1983-08-22,11:19,12
Ernie,M,238477.6516,8685072.089,1983-08-22,12:03,12
FFM,M,238621.4265,8684609.619,1983-08-27,5:45,13
FFM,M,238618.2515,8684635.548,1983-08-27,6:01,13
FFM,M,238609.2557,8684729.74,1983-08-27,6:18,13
FFM,M,238638.889,8684801.707,1983-08-27,6:35,13
FFM,M,238720.91,8684808.586,1983-08-27,6:52,13
FFM,M,238785.4685,8684910.715,1983-08-27,7:09,13
FFM,M,238674.1228,8685017.872,1983-08-27,7:26,13
FFM,M,238683.3832,8685085.34,1983-08-27,7:43,13
FFM,M,238760.1126,8685179.929,1983-08-27,8:00,13
FFM,M,238758.7896,8685252.028,1983-08-27,8:17,13
FFM,M,238791.2012,8685318.174,1983-08-27,8:34,13
FFM,M,238668.8311,8685443.19,1983-08-27,8:51,13
FFM,M,238626.189,8685447.82,1983-08-27,9:00,13
FFM,M,238687.5725,8685454.17,1983-08-27,10:54,13
FFM,M,238712.9725,8685528.783,1983-08-27,10:57,13
FFM,M,238672.7558,8685700.233,1983-08-27,11:28,13
FFM,M,238594.9681,8685723.517,1983-08-27,12:00,13
FFM,M,238382.7719,8685719.283,1983-08-27,12:31,13
FFM,M,238377.4802,8685647.846,1983-08-27,13:03,13
FFM,M,238385.9469,8685631.442,1983-08-27,13:34,13
FFM,M,238229.8424,8685579.054,1983-08-27,14:06,13
FFM,M,238203.384,8685585.404,1983-08-27,14:37,13
FFM,M,238167.9298,8685584.346,1983-08-27,15:09,13
FFM,M,238688.2606,8685299.733,1983-09-14,15:45,14
FFM,M,238879.9516,8685290.605,1983-09-14,15:57,14
FFM,M,238979.1706,8685327.911,1983-09-14,16:10,14
FFM,M,238942.658,8685180.273,1983-09-14,16:23,14
FFM,M,238867.2516,8685142.967,1983-09-14,16:36,14
FFM,M,238760.8889,8685084.229,1983-09-14,16:49,14
FFM,M,238790.2577,8684911.191,1983-09-14,17:01,14
FFM,M,238664.845,8685026.285,1983-09-14,17:14,14
FFM,M,238876.7766,8684972.31,1983-09-14,17:27,14
FFM,M,238939.483,8684980.248,1983-09-14,17:40,14
FFM,M,239134.7459,8685056.448,1983-09-14,17:53,14
FFM,M,239167.2897,8685137.411,1983-09-14,18:06,14
FFM,M,239162.8182,8685139.104,1983-09-15,5:36,15
FFM,M,239127.8932,8685054.569,1983-09-15,5:44,15
FFM,M,239125.9088,8685157.36,1983-09-15,5:52,15
FFM,M,239147.737,8685161.329,1983-09-15,6:00,15
FFM,M,239148.9276,8685185.142,1983-09-15,6:09,15
Harriet,F,238597.8786,8685520.316,1983-08-25,7:39,16
Harriet,F,238523.1336,8685527.195,1983-08-25,8:07,16
Harriet,F,238506.068,8685538.308,1983-08-25,8:35,16
Harriet,F,238485.4304,8685574.424,1983-08-25,9:03,16
Harriet,F,238460.8241,8685576.011,1983-08-25,9:31,16
Harriet,F,238439.7897,8685631.574,1983-08-25,10:00,16
Harriet,F,238397.7209,8685717.299,1983-08-25,10:51,16
Harriet,F,238380.6552,8685717.299,1983-08-25,11:42,16
Harriet,F,238386.6083,8685631.971,1983-08-25,12:33,16
Harriet,F,238378.6708,8685645.068,1983-08-25,13:24,16
Harriet,F,238207.0882,8685416.864,1983-08-25,16:42,16
Harriet,F,238203.9132,8685302.564,1983-08-25,16:54,16
Harriet,F,238137.7672,8685430.093,1983-08-25,17:06,16
Harriet,F,238626.189,8685447.82,1983-08-27,9:00,17
Harriet,F,238687.5725,8685454.17,1983-08-27,10:54,17
Harriet,F,238712.9725,8685528.783,1983-08-27,10:57,17
Harriet,F,238672.7558,8685700.233,1983-08-27,11:28,17
Harriet,F,238594.9681,8685723.517,1983-08-27,12:00,17
Harriet,F,238382.7719,8685719.283,1983-08-27,12:31,17
Harriet,F,238377.4802,8685647.846,1983-08-27,13:03,17
Harriet,F,238385.9469,8685631.442,1983-08-27,13:34,17
Harriet,F,238229.8424,8685579.054,1983-08-27,14:06,17
Harriet,F,238203.384,8685585.404,1983-08-27,14:37,17
Harriet,F,238167.9298,8685584.346,1983-08-27,15:09,17
Jody,F,238757.9189,8684548.092,1983-09-15,15:36,18
Jody,F,238745.9994,8684551.704,1983-09-15,15:57,18
Jody,F,238732.4395,8684597.344,1983-09-15,16:18,18
Jody,F,238717.5567,8684602.967,1983-09-15,16:39,18
Jody,F,238678.5306,8684603.628,1983-09-15,17:00,18
Jody,F,238668.2779,8684590.068,1983-09-15,17:21,18
Jody,F,238650.0878,8684565.594,1983-09-15,17:42,18
Jody,F,238629.1857,8684610.97,1983-09-16,5:48,19
Jody,F,238583.9418,8684734.928,1983-09-16,6:10,19
Jody,F,238486.3104,8684860.341,1983-09-16,6:33,19
Jody,F,238434.7165,8684995.278,1983-09-16,6:55,19
Jody,F,238484.0614,8685081.268,1983-09-16,7:18,19
Jody,F,238452.5363,8685230.149,1983-09-16,7:41,19
Jody,F,238500.5847,8685273.33,1983-09-16,8:03,19
Jody,F,238592.0712,8685282.431,1983-09-16,8:26,19
Jody,F,238623.4905,8685420.676,1983-09-16,8:49,19
Jody,F,238631.428,8685450.773,1983-09-16,9:11,19
Jody,F,238642.5075,8685446.473,1983-09-16,9:34,19
Jody,F,238757.6014,8685359.161,1983-09-16,9:57,19
Jody,F,238779.4296,8685357.507,1983-09-16,10:19,19
Jody,F,238818.7865,8685334.356,1983-09-16,10:42,19
Jody,F,238840.9454,8685296.983,1983-09-16,11:05,19
Jody,F,238881.9559,8685298.968,1983-09-16,11:27,19
Jody,F,238955.874,8685306.575,1983-09-16,11:50,19
Jody,F,238974.0641,8685327.41,1983-09-16,12:13,19
Jody,F,238962.4886,8685276.809,1983-09-16,12:35,19
Jody,F,238922.4703,8685248.697,1983-09-16,12:58,19
Jody,F,238852.6863,8685003.957,1983-09-16,13:21,19
Jody,F,238759.3675,8684555.566,1983-09-16,14:54,19
Jody,F,238746.9321,8684558.477,1983-09-16,15:27,19
Jody,F,238759.3675,8684555.566,1983-09-16,16:00,19
Lech,M,238851.4562,8684745.836,1983-07-13,16:30,20
Lech,M,238889.1594,8684751.392,1983-07-13,16:52,20
Lech,M,238947.1032,8684867.28,1983-07-13,17:15,20
Lech,M,239013.5402,8684904.19,1983-07-13,17:37,20
Lech,M,238958.7714,8684917.683,1983-07-13,18:00,20
Lech,M,238958.7714,8684917.683,1983-07-14,6:00,21
Lech,M,239130.8567,8684956.18,1983-07-14,6:52,21
Lech,M,239109.8223,8685006.187,1983-07-14,7:45,21
Lech,M,239051.4816,8685031.19,1983-07-14,8:37,21
Lech,M,238945.9126,8685102.627,1983-07-14,9:30,21
Lech,M,238832.9353,8685223.225,1983-07-14,10:22,21
Lech,M,238827.1145,8685297.837,1983-07-14,11:15,21
Lech,M,238662.0141,8685285.667,1983-07-14,12:07,21
Lech,M,238581.0515,8685289.9,1983-07-14,13:00,21
Lech,M,238596.4564,8685365.341,1983-07-30,10:18,22
Lech,M,238425.0325,8685024.169,1983-07-30,10:33,22
Lech,M,238378.4129,8685027.291,1983-07-30,10:49,22
Lech,M,238197.4375,8685308.279,1983-07-30,11:04,22
Lech,M,238204.8458,8685446.392,1983-07-30,11:20,22
Lech,M,238186.325,8685556.458,1983-07-30,11:36,22
Lech,M,238204.3167,8685583.975,1983-07-30,11:51,22
Lech,M,238167.8041,8685581.859,1983-07-30,12:07,22
Lech,M,238037.0997,8685528.942,1983-07-30,12:22,22
Lech,M,237925.9744,8685535.821,1983-07-30,12:38,22
Lech,M,237870.941,8685549.579,1983-07-30,12:54,22
Lech,M,237857.7118,8685563.867,1983-07-30,13:09,22
Lech,M,237671.9739,8685527.883,1983-07-30,13:25,22
Lech,M,237755.5824,8685542.7,1983-07-30,13:41,22
Lech,M,237878.1377,8685438.983,1983-07-30,13:56,22
Lech,M,237925.2336,8685422.05,1983-07-30,14:12,22
Lech,M,238001.4338,8685396.121,1983-07-30,14:27,22
Lech,M,238052.6572,8685332.091,1983-07-30,14:43,22
Lech,M,238152.6699,8685310.925,1983-07-30,14:59,22
Lech,M,238252.6826,8685252.716,1983-07-30,15:14,22
Lech,M,238253.7409,8685211.441,1983-07-30,15:30,22
Lech,M,238390.2662,8685055.337,1983-07-30,15:45,22
